event_id,teams,team1_odds,team2_odds,team1_prob,team2_prob,team1_prob_norm,team2_prob_norm,sentiment_score,model_team1_prob,discrepancy_team1,inefficiency_score
ed78df6eadace430b85a5455420d5b96,Leeds United vs Manchester City,1000.0,1.37,0.001,0.7299270072992701,0.001368125667835,0.9986318743321648,0.0,0.49846430810871467,0.49709618244087966,0.49709618244087966
ed78df6eadace430b85a5455420d5b96,Leeds United vs Manchester City,11.0,1.22,0.0909090909090909,0.819672131147541,0.099836333878887,0.9001636661211129,0.0,0.49846430810871467,0.39862797422982765,0.39862797422982765
ed78df6eadace430b85a5455420d5b96,Leeds United vs Manchester City,10.5,1.25,0.0952380952380952,0.8,0.1063829787234042,0.8936170212765957,0.0,0.49846430810871467,0.3920813293853105,0.3920813293853105
ed78df6eadace430b85a5455420d5b96,Leeds United vs Manchester City,10.0,1.25,0.1,0.8,0.1111111111111111,0.888888888888889,0.0,0.49846430810871467,0.38735319699760357,0.38735319699760357
8d203a70697ca51c2aa58bb2035d04ff,Arsenal vs Tottenham Hotspur,1.3,9.0,0.7692307692307692,0.1111111111111111,0.8737864077669902,0.1262135922330097,0.0,0.49846430810871467,0.37532209965827557,0.37532209965827557
2af63d4424d069fa569f9eab19ba4d14,Chelsea vs Wolverhampton Wanderers,1.4,9.4,0.7142857142857143,0.1063829787234042,0.8703703703703703,0.1296296296296296,0.0,0.49846430810871467,0.3719060622616557,0.3719060622616557
2af63d4424d069fa569f9eab19ba4d14,Chelsea vs Wolverhampton Wanderers,1.4,9.2,0.7142857142857143,0.108695652173913,0.8679245283018867,0.1320754716981132,0.0,0.49846430810871467,0.36946022019317204,0.36946022019317204
1f43200e817401cdd24c86a9310cfb6d,Arsenal vs Sunderland,2.0,13.0,0.5,0.0769230769230769,0.8666666666666667,0.1333333333333333,0.0,0.49846430810871467,0.368202358557952,0.368202358557952
2af63d4424d069fa569f9eab19ba4d14,Chelsea vs Wolverhampton Wanderers,1.39,9.0,0.7194244604316548,0.1111111111111111,0.8662175168431184,0.1337824831568816,0.0,0.49846430810871467,0.36775320873440376,0.36775320873440376
8d203a70697ca51c2aa58bb2035d04ff,Arsenal vs Tottenham Hotspur,1.33,8.5,0.7518796992481203,0.1176470588235294,0.8646998982706001,0.1353001017293998,0.0,0.49846430810871467,0.36623559016188545,0.36623559016188545
